numsquares dig_count bomb_count time
100 90.6 10 2.4

100 89.8 10 1.6

100 85.8 10 1.0

100 92.2 10 2.4

100 90.4 10 3.6

200 180.8 20 10.0

200 179.4 20 19.8

200 179.4 20 9.6

200 181.2 20 2.8

200 178.8 20 5.6

300 278.4 30 21.2

300 270.2 30 6.6

300 268.2 30 4.8

300 276.4 30 6.4

300 268.8 30 4.2

400 362.8 40 6.2

400 357.6 40 5.6

400 362.4 40 6.0

400 363.2 40 6.0

400 361.4 40 6.8

500 448.0 50 8.6

500 454.0 50 7.6

500 456.4 50 11.8

500 453.4 50 8.2

500 448.8 50 7.4

600 545.4 60 9.6

600 539.2 60 8.6

600 545.2 60 9.2

600 542.8 60 17.2

600 543.8 60 9.8

700 632.8 70 11.8

700 640.4 70 11.6

700 633.0 70 12.0

700 633.0 70 20.0

700 634.0 70 12.8

800 728.6 80 16.4

800 723.0 80 25.2

800 720.6 80 15.8

800 722.0 80 67.4

800 723.6 80 17.8

1000 910.6 100 25.8

1000 912.2 100 23.2

1000 909.4 100 29.8

1000 905.2 100 26.8

1000 903.6 100 22.2

900 811.4 90 15.6

900 814.2 90 19.8

900 814.4 90 20.6

900 810.2 90 16.6

900 816.0 90 15.2

